QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMLOC,NUMLOC_,LOCLODGX,LOCL_DGX,ALCMEALX,ALCM_ALX,ALCGROCX,ALCG_OCX,LOCADMSX,LOCA_MSX,FOODLCDL,FOOD_CDL,LODGLCDL,LODG_CDL,ENTRLCDL,ENTR_CDL,ELSELCDL,ELSE_CDL,QLCMLAX,QLCMLAX_,QLCGLAX,QLCGLAX_
20181,03818661,11,0,1,3,D,420,D,,A,,A,,A,,A,,A,,A,,A,60,D,90,D
20181,03819261,29,0,1,1,D,174,G,81,G,,A,,A,1,D,1,D,2,D,2,D,325,G,,A
20181,03819441,60,0,1,1,D,65,D,,A,,A,50,D,,A,,A,,A,,A,200,D,,A
20181,03819491,60,0,1,2,D,1100,D,200,D,,A,,A,,A,,A,,A,,A,500,D,,A
20181,03820191,56,0,1,1,D,130,D,110,D,,A,,A,,A,,A,,A,,A,78,D,,A
20181,03820661,28,0,1,7,D,2055,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03825081,38,0,1,2,D,100,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20181,03825481,32,0,1,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03827201,41,0,1,1,D,148,D,,A,,A,,A,,A,,A,,A,,A,80,D,,A
20181,03828401,41,0,1,1,D,130,D,20,D,,A,30,D,,A,,A,,A,,A,55,D,,A
20181,03840381,26,0,1,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03843371,40,0,1,2,D,168,D,25,D,,A,20,D,,A,,A,,A,,A,130,D,,A
20181,03844411,80,0,1,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,20,D
20181,03845731,29,0,1,2,D,100,D,,A,,A,600,D,,A,,A,,A,,A,25,D,,A
20181,03846051,25,0,1,3,D,240,D,,A,,A,,A,,A,,A,,A,,A,90,D,,A
20181,03847211,22,0,1,4,D,,A,,A,,A,,A,,A,,A,,A,,A,600,D,75,D
20181,03847651,19,0,1,5,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03848991,11,0,1,2,D,180,D,,A,,A,,A,,A,,A,,A,,A,75,D,,A
20181,03852901,54,0,1,2,D,120,D,100,D,,A,,A,,A,,A,,A,,A,100,D,,A
20181,03855131,17,0,1,2,D,350,D,,A,,A,40,D,,A,,A,,A,,A,100,D,,A
20181,03857071,39,0,1,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20181,03858611,32,0,1,1,D,236,D,,A,,A,,A,,A,,A,,A,,A,50,D,20,D
20181,03860161,59,0,1,1,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20182,03692904,18,0,1,2,D,200,D,,A,,A,,A,,A,,A,,A,,A,150,D,,A
20182,03693244,58,0,1,2,D,800,D,100,D,,A,,A,,A,,A,,A,,A,200,D,,A
20182,03695274,33,0,1,2,D,250,D,80,D,,A,80,D,,A,,A,,A,,A,100,D,100,D
20182,03697004,34,0,1,1,D,264,G,,A,,A,86,G,2,D,1,D,1,D,2,D,75,D,,A
20182,03697804,35,0,1,1,D,180,D,20,D,,A,,A,,A,,A,,A,,A,80,D,,A
20182,03701974,16,0,1,5,D,500,D,,A,,A,,A,,A,,A,,A,,A,100,D,100,D
20182,03713554,36,0,1,2,D,200,D,,A,,A,,A,,A,,A,,A,,A,20,D,,A
20182,03719334,28,0,1,2,D,165,D,,A,,A,600,D,,A,,A,,A,,A,,A,,A
20182,03719724,32,0,1,3,D,270,D,,A,,A,55,D,,A,,A,,A,,A,125,D,,A
20182,03721184,20,0,1,56,D,370,F,,A,,A,,A,,A,,A,,A,,A,50,F,,A
20182,03723524,52,0,1,7,D,1000,G,,A,,A,,A,2,D,1,D,2,D,2,D,,A,,A
20182,03734154,52,0,1,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,240,D,,A
20182,03734484,29,0,1,2,D,300,D,,A,,A,,A,,A,,A,,A,,A,100,D,50,D
20182,03735324,16,0,1,5,D,3000,D,30,D,,A,,A,1,D,1,D,1,D,2,D,570,D,30,D
20182,03735654,20,0,1,1,D,,A,,A,,A,,A,,A,,A,,A,,A,10,D,,A
20182,03738424,42,0,1,1,D,125,D,,A,,A,30,D,,A,,A,,A,,A,50,D,,A
20182,03738474,31,0,1,1,D,108,D,,A,,A,,A,,A,,A,,A,,A,20,D,,A
20182,03740914,54,0,1,1,D,579,D,50,D,,A,,A,,A,,A,,A,,A,50,D,,A
20182,03741004,50,0,1,1,D,,A,,A,,A,50,D,,A,,A,,A,,A,75,D,,A
20182,03757623,28,0,1,4,D,400,D,,A,,A,,A,,A,,A,,A,,A,160,D,,A
20182,03758423,29,0,1,1,D,125,D,20,D,,A,,A,,A,,A,,A,,A,55,D,,A
20182,03760033,54,0,1,1,D,,A,22,G,5,G,,A,,A,,A,,A,,A,61,G,18,G
20182,03761533,12,0,1,2,D,,A,,A,,A,,A,,A,,A,,A,,A,500,F,,A
20182,03765253,64,0,1,1,D,120,D,40,D,,A,200,D,,A,,A,,A,,A,40,D,,A
20182,03765843,33,0,1,7,D,570,D,100,D,,A,,A,,A,,A,,A,,A,300,D,100,D
20182,03778013,36,0,1,2,D,250,D,,A,,A,,A,,A,,A,,A,,A,150,D,,A
20182,03782563,74,0,1,3,D,100,D,,A,,A,,A,,A,,A,,A,,A,500,D,50,D
20182,03782693,70,0,1,1,D,106,G,,A,,A,43,G,2,D,1,D,1,D,2,D,52,D,,A
20182,03784983,32,0,1,2,D,,A,5,D,,A,,A,,A,,A,,A,,A,25,D,,A
20182,03799623,37,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20182,03800643,36,0,1,2,D,240,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20182,03801213,32,0,1,1,D,130,D,,A,,A,,A,,A,,A,,A,,A,60,D,,A
20182,03802243,41,0,1,3,D,825,D,,A,,A,,A,,A,,A,,A,,A,800,D,,A
20182,03802883,86,0,1,1,D,206,D,50,D,,A,,A,,A,,A,,A,,A,76,D,,A
20182,03804063,88,0,1,1,D,335,D,30,D,,A,,A,,A,,A,,A,,A,64,D,,A
20182,03804603,37,0,1,1,D,250,G,50,D,,A,,A,2,D,1,D,2,D,2,D,50,D,,A
20182,03808313,21,0,1,3,D,200,D,80,F,,A,,A,,A,,A,,A,,A,100,F,,A
20182,03818672,24,0,1,3,D,80,D,20,D,,A,,A,,A,,A,,A,,A,78,D,,A
20182,03818972,13,0,1,1,D,120,D,,A,,A,100,D,,A,,A,,A,,A,500,D,100,D
20182,03819052,28,0,1,1,D,285,F,20,F,,A,,A,,A,,A,,A,,A,80,F,,A
20182,03819052,29,0,1,1,D,,A,8,F,20,F,,A,,A,,A,,A,,A,142,F,80,F
20182,03819212,26,0,1,5,D,500,D,,A,,A,30,D,,A,,A,,A,,A,300,D,150,D
20182,03820042,44,0,1,2,D,750,D,200,D,,A,,A,,A,,A,,A,,A,300,D,,A
20182,03821052,20,0,1,2,D,130,G,,A,,A,,A,2,D,1,D,2,D,2,D,,A,,A
20182,03828612,26,0,1,4,D,320,D,40,D,,A,,A,,A,,A,,A,,A,360,D,,A
20182,03842292,24,0,1,1,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,110,D
