QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20191,04073031,1,0,1,140,D,3,D,12,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073051,1,0,1,120,D,1,D,10,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073191,1,0,1,120,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073291,1,0,1,100,D,1,D,10,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073341,1,0,1,120,D,1,D,12,D,214,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073411,1,0,1,195,D,1,D,10,D,2700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073561,1,0,1,220,D,1,D,10,D,,H,,A,,A,220,D,140,D,,A,,A,,A,,A,,A,,A,,A
20191,04073561,1,1,1,120,D,1,D,10,D,14,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073561,1,2,1,140,D,1,D,10,D,96,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04074241,1,0,1,195,D,1,D,10,D,1470,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04074371,1,0,1,100,D,1,D,12,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04074511,1,0,1,120,D,1,D,11,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04074511,2,0,1,160,D,1,D,11,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04074731,1,0,1,100,D,1,D,10,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04074731,2,0,1,195,D,1,D,10,D,380,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04074761,1,0,1,120,D,1,D,11,D,152,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04075181,1,0,1,195,D,1,D,10,D,650,D,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04075471,1,0,1,140,D,1,D,10,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04076071,1,0,1,180,D,1,D,12,D,100,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04076141,1,0,1,120,D,1,D,10,D,213,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04076441,1,0,1,220,D,1,D,11,D,,H,,A,,H,100,D,140,D,120,D,,A,,A,,A,,A,,A,,A
20191,04076441,1,1,1,100,D,1,D,11,D,521,E,,A,10,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04076441,1,2,1,140,D,1,D,11,D,1519,E,,A,5,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04076441,1,3,1,120,D,1,D,11,D,166,E,,A,5,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04076921,1,0,1,120,D,1,D,11,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04077271,1,0,1,100,D,1,D,11,D,533,D,,A,49,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04077301,1,0,1,160,D,1,D,10,D,500,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04077571,1,0,1,120,D,1,D,10,D,180,D,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04077571,2,0,1,100,D,1,D,10,D,1000,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04077631,1,0,1,160,D,1,D,11,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04077671,1,0,1,160,D,1,D,12,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04077942,1,0,1,120,D,1,D,10,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
