QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPFLUDX,VOPF_UDX,VOPPARKX,VOPP_RKX,VOPTOWX,VOPTOWX_,VOPDOCKX,VOPD_CKX,VOPPLCYX,VOPP_CYX,TANKGASX,TANK_ASX,JGASOXQV,JGAS_XQV,JDIESXQV,JDIE_XQV,VOPCLUBX,VOPC_UBX,VOPTOLLX,VOPT_LLX,VOPOILX,VOPOILX_,JELEXQV,JELEXQV_,JETHXQV,JETHXQV_,MISPURCH,QADELEX,QADELEX_,QADETHX,QADETHX_,QELEDDZ,QELEDDZ_,VOPELBPR,VOPELBS,VOPELBS_,VOPELEC,VOPELECX,VOPELEC_,VOPETH,VOPETHX,VOPETHX_,VOPETH_,VOPE_BPR,VOPE_ECX
20181,03640364,29,0,1,,A,,A,,A,,A,,A,,A,300,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640374,28,0,1,,A,,A,,A,,A,,A,,A,600,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640394,10,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640414,38,0,1,,A,,A,,A,,A,,A,,A,180,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640424,6,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640434,35,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640454,38,0,1,,A,,A,,A,,A,,A,,A,825,D,,A,,A,300,D,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640484,38,0,1,,A,,A,,A,,A,,A,,A,600,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640494,22,0,1,,A,,A,,A,,A,,A,,A,360,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640504,11,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640514,27,0,1,,A,,A,,A,,A,,A,,A,225,D,,A,,A,25,D,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640524,20,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640534,35,0,1,,A,,A,,A,,A,,A,,A,240,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
