QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20181,03819891,34,0,1,10,D,135,D,34,D,101,D,100,D,1,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03819921,18,0,1,11,D,450,D,,A,,H,500,D,1,F,2,D,500,D,140,D,,A,,A,,A,,A,,A,,A,,A
20181,03819921,18,1,1,11,D,,B,,A,161,E,110,D,1,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03819921,18,2,1,11,D,,B,,A,289,E,330,D,1,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03819921,19,0,1,11,D,32,D,,A,,H,500,D,1,D,2,D,500,D,100,D,,A,,A,,A,,A,,A,,A,,A
20181,03819921,19,1,1,11,D,,B,,A,6,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03819921,19,2,1,11,D,,B,,A,26,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03819921,20,0,1,11,D,6,D,,A,,H,500,D,1,D,2,D,500,D,367,D,,A,,A,,A,,A,,A,,A,,A
20181,03819921,20,1,1,11,D,,B,,A,5,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03819921,20,2,1,11,D,,B,,A,1,E,367,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03819951,105,0,1,10,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03819951,106,0,1,11,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03819951,107,0,1,12,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03819951,108,0,1,11,D,500,D,,A,500,D,110,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03819951,109,0,1,12,D,15,D,,A,15,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
