QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,EDUC_AY,EDUC_AY_,EDUCGFTC,EDUC_FTC,EDSCHL_A,EDSC_L_A,EDMONTHA,EDMO_THA,EDREIMBX,EDRE_MBX,JEDUCNET,JEDU_NET,EDUC_A1,EDUC_A1_,EDUC_A2,EDUC_A2_,EDUC_A3,EDUC_A3_,EDUC_A4,EDUC_A4_,EDUC_A5,EDUC_A5_,EDUC_A6,EDUC_A6_,EDUC_A7,EDUC_A7_,EDUC_A8,EDUC_A8_,EDUC_A9,EDUC_A9_
20181,03642904,7,0,1,360,D,1,D,,A,12,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642924,13,0,1,300,D,2,D,1,D,12,D,,A,19350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643144,12,0,1,350,D,1,D,2,D,13,D,,A,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643194,11,0,1,345,D,1,D,,A,13,D,,A,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643194,12,0,1,350,D,1,D,2,D,12,D,,A,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643214,2,0,1,360,D,1,D,,A,12,D,,A,515,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643234,6,0,2,345,D,1,D,,A,10,D,,A,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643374,4,0,1,300,D,1,D,2,D,13,D,,A,520,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643404,40,0,1,200,D,1,D,,A,13,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643454,12,0,1,100,D,1,D,,A,13,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643534,2,0,1,300,D,1,D,1,D,12,D,,A,5000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643554,3,0,1,380,D,2,D,1,D,13,D,,A,,H,310,D,300,D,,A,,A,,A,,A,,A,,A,,A
20181,03643554,3,1,1,300,D,2,D,1,D,13,D,,A,4000,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643564,3,0,1,300,D,1,D,1,D,11,D,,A,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643634,16,0,1,300,D,1,D,1,D,11,D,,A,3868,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643634,17,0,1,300,D,1,D,1,D,12,D,,A,3868,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643634,18,0,2,300,D,1,D,1,D,10,D,,A,3868,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643804,11,0,2,100,D,1,D,,A,10,D,,A,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643894,5,0,1,360,D,1,D,,A,13,D,,A,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644124,6,0,1,310,D,1,D,,A,13,D,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644344,3,0,1,200,D,1,D,,A,13,D,,A,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644534,6,0,1,300,D,1,D,1,D,10,D,,A,25000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644534,7,0,1,350,D,1,D,1,D,10,D,,A,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644674,2,0,1,200,D,1,D,,A,13,D,500,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644794,7,0,1,100,D,1,D,,A,10,D,,A,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644884,13,0,1,100,D,1,D,,A,13,D,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644904,8,0,1,100,D,1,D,,A,13,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644904,9,0,1,100,D,1,D,,A,12,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03645164,13,0,1,200,D,1,D,,A,13,D,,A,908,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03645444,21,0,1,300,D,1,D,1,D,12,D,,A,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03645464,4,0,2,350,D,1,D,1,D,10,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03645814,8,0,1,200,D,1,D,,A,13,D,,A,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03645904,10,0,1,200,D,1,D,,A,13,D,,A,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03645914,2,0,1,300,D,1,D,2,D,13,D,,A,551,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03645914,3,0,2,300,D,1,D,2,D,10,D,,A,551,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03645944,6,0,1,200,D,1,D,,A,13,D,,A,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646014,1,0,1,300,D,1,D,1,D,12,D,,A,4297,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646014,2,0,1,350,D,1,D,1,D,12,D,,A,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646024,22,0,1,100,D,1,D,,A,12,D,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646024,23,0,1,345,D,1,D,,A,11,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646024,24,0,1,345,D,1,D,,A,11,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646054,4,0,1,350,D,1,D,1,D,12,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646174,11,0,1,200,D,1,D,,A,13,D,,A,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646174,12,0,1,300,D,1,D,2,D,13,D,,A,1680,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646174,13,0,1,100,D,1,D,,A,13,D,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646184,8,0,1,100,D,1,D,,A,13,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646384,17,0,1,100,D,1,D,,A,12,D,,A,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646444,8,0,1,300,D,1,D,2,D,13,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646444,9,0,1,360,D,1,D,,A,10,D,,A,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646614,9,0,1,100,D,1,D,,A,13,D,,A,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646814,11,0,1,300,D,1,D,2,D,10,D,,A,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646814,12,0,1,300,D,1,D,2,D,11,D,,A,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646814,13,0,1,300,D,1,D,2,D,12,D,,A,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646814,14,0,1,300,D,2,D,1,D,12,D,,A,6000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646954,8,0,1,360,D,1,D,,A,11,D,,A,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647134,5,0,1,320,D,1,D,,A,12,D,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647134,6,0,1,320,D,1,D,,A,11,D,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647134,7,0,1,320,D,1,D,,A,10,D,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647134,8,0,2,320,D,1,D,,A,10,D,,A,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647274,12,0,1,300,D,1,D,1,D,12,D,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647594,5,0,1,335,D,1,D,1,D,13,D,,A,,H,310,D,320,D,300,D,,A,,A,,A,,A,,A,,A
20181,03647594,5,1,1,300,D,1,D,1,D,13,D,,A,2500,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647594,6,0,1,350,D,1,D,1,D,13,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647844,7,0,1,300,D,1,D,1,D,12,D,,A,4500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647874,7,0,1,200,D,1,D,,A,13,D,,A,345,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647874,8,0,1,100,D,1,D,,A,12,D,,A,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647974,5,0,1,345,D,1,D,,A,13,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647984,13,0,1,320,D,2,D,,A,13,D,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03648044,8,0,1,200,D,1,D,,A,13,D,,A,540,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03648084,11,0,1,100,D,1,D,,A,11,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03648084,12,0,2,100,D,1,D,,A,10,D,,A,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03648204,14,0,1,200,D,1,D,,A,13,D,,A,320,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03648414,5,0,1,100,D,1,D,,A,13,D,,A,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03648674,24,0,1,360,D,1,D,,A,10,D,,A,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03648794,10,0,2,350,D,1,D,1,D,10,D,,A,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03648984,14,0,1,200,D,1,D,,A,13,D,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649094,1,0,1,200,D,1,D,,A,13,D,,A,237,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649094,2,0,2,200,D,1,D,,A,10,D,,A,228,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649134,5,0,1,350,D,1,D,1,D,10,D,,A,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649174,9,0,1,360,D,1,D,,A,12,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649214,12,0,1,100,D,1,D,,A,10,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649214,13,0,1,100,D,1,D,,A,10,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649214,14,0,1,300,D,1,D,1,D,10,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649354,16,0,1,100,D,1,D,,A,10,D,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649354,17,0,1,100,D,1,D,,A,11,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649354,18,0,1,100,D,1,D,,A,11,D,,A,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649354,19,0,1,300,D,1,D,1,D,12,D,,A,15000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649524,23,0,2,100,D,2,D,,A,10,D,,A,178,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649644,8,0,1,200,D,1,D,,A,11,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649774,10,0,1,100,D,1,D,,A,12,D,,A,3000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649774,11,0,1,300,D,1,D,2,D,12,D,,A,42000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649774,12,0,1,345,D,1,D,,A,11,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649774,13,0,1,350,D,1,D,2,D,12,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649774,14,0,1,360,D,1,D,,A,12,D,,A,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03650024,9,0,1,350,D,1,D,1,D,01,D,,A,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03650184,11,0,1,350,D,1,D,2,D,01,D,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03650214,4,0,1,200,D,1,D,,A,13,D,,A,1110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03650394,16,0,2,100,D,1,D,,A,11,D,,A,187,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03650464,17,0,1,350,D,2,D,2,D,12,D,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03650514,6,0,1,300,D,1,D,2,D,01,D,,A,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03650614,12,0,1,345,D,1,D,,A,11,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03650754,4,0,1,360,D,2,D,,A,13,D,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03650844,3,0,1,200,D,1,D,,A,12,D,,A,14,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03650934,2,0,1,200,D,1,D,,A,13,D,,A,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03651484,4,0,1,100,D,1,D,,A,11,D,,A,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03651484,5,0,1,100,D,1,D,,A,12,D,,A,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03651484,6,0,1,100,D,1,D,,A,01,D,,A,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03651684,5,0,1,300,D,2,D,1,D,13,D,,A,4297,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03651684,6,0,1,300,D,2,D,1,D,12,D,,A,4297,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03651774,1,0,1,200,D,1,D,,A,13,D,,A,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03651774,2,0,1,200,D,1,D,,A,13,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03651974,10,0,1,300,D,2,D,1,D,12,D,,A,5300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03651974,11,0,1,310,D,2,D,,A,12,D,,A,2100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03651974,12,0,1,310,D,2,D,,A,01,D,,A,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03652194,11,0,1,300,D,1,D,1,D,01,D,,A,5300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03652224,6,0,1,200,D,1,D,,A,13,D,,A,952,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03652474,5,0,1,350,D,1,D,1,D,12,D,,A,245,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03652654,14,0,1,100,D,1,D,,A,01,D,,A,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03652654,15,0,1,100,D,1,D,,A,01,D,,A,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03652654,16,0,2,100,D,1,D,,A,11,D,,A,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03652694,1,0,1,300,D,1,D,1,D,01,D,,A,6055,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03652714,14,0,1,200,D,1,D,,A,13,D,,A,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03652734,2,0,1,200,D,1,D,,A,13,D,,A,740,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03653104,4,0,1,350,D,1,D,1,D,12,D,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03653124,4,0,1,300,D,1,D,1,D,01,D,,A,3500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03653124,5,0,1,350,D,1,D,1,D,01,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03653434,3,0,1,300,D,1,D,1,D,13,D,,A,440,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03653634,15,0,1,300,D,1,D,1,D,12,D,,A,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
