ALCNO,CHIP,CHIPCOV,CHIPCOV_,CHIPPRMX,CHIP_,CHIP_RMX,CHXCHNG,CHXCHNG_,IHS,IHSCOV,IHSCOV_,IHS_,JCHIPQVX,JCHI_QVX,JMDCDQVX,JMDC_QVX,MDCDCOV,MDCDCOV_,MDCDPRMX,MDCD_RMX,MEDICAID,MEDI_AID,MEDPREM,MEDPREM_,MILITARY,MILI_ARY,MILMAN,MILMAN_,MILOTCOV,MILOTHR,MILOTHR_,MILOTSTL,MILO_COV,MILO_STL,MILSPC1,MILSPC1_,MILSPC2,MILSPC2_,MILSPC3,MILSPC3_,MILSPC4,MILSPC4_,MILVACOV,MILVASTL,MILV_COV,MILV_STL,MXCHNG,MXCHNG_,NEWID,QTRIRPMX,QTRI_PMX,RECTYPE,REC_ORIG,REC_STAT,SEQNO,STRFPRM1,STRF_RM1,TRIANYPD,TRIA_YPD,TRICRSTL,TRIC_STL,TRIIRGXB,TRII_GXB,TRILSTTM,TRIL_TTM,TRIRPMPD,TRIRPMXB,TRIR_MPD,TRIR_MXB,QYEAR
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,4,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,1,D,03841344,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,1,2,D,D,,A,,A,0,D,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,,A,03841514,,A,HHM,5,1,7,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,2,D,03841664,,A,HHM,5,1,7,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,5,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,1,D,03841804,,A,HHM,5,1,7,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,0,D,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,03841954,,A,HHM,5,1,14,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,1,D,03841984,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,150,D,2,D,50,D,1,D,1,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,2,D,03842284,,A,HHM,5,1,3,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,0,D,,A,2,D,,A,1,D,,A,,2,D,,A,A,3,D,,A,,A,,A,1,1,D,D,,A,03842314,,A,HHM,5,1,9,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,0,D,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,,A,03842364,,A,HHM,5,1,3,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,0,D,,A,2,D,,A,1,D,4,D,,2,D,,A,A,1,D,,A,,A,,A,0,,D,A,,A,03842414,,A,HHM,5,1,4,,A,,A,1,D,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,0,D,,A,2,D,,A,1,D,1,D,,2,D,,A,A,1,D,,A,,A,,A,0,,D,A,,A,03842594,144,D,HHM,5,1,3,,A,1,D,1,D,,A,1,D,04,48,D,D,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,0,D,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,03842714,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,0,D,,A,2,D,,A,1,D,1,D,,2,D,,A,A,1,D,,A,,A,,A,0,,D,A,,A,03842924,,A,HHM,5,1,6,,A,2,D,1,D,,A,,A,04,,D,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,0,D,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,03842944,,A,HHM,5,1,3,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,1,D,03842994,,A,HHM,5,1,18,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,0,D,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,,A,03843034,,A,HHM,4,1,4,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,1,D,03843594,,A,HHM,5,1,9,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,0,D,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,03843724,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,0,D,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,,A,03843814,,A,HHM,4,1,3,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,2,D,03844024,,A,HHM,5,1,15,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,2,D,03844044,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,2,D,03844124,,A,HHM,5,1,2,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,2,D,03844394,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,2,D,03844444,,A,HHM,1,1,7,,A,,A,,A,,A,,A,,,A,A,20184
