QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20191,03946993,25,0,5,01,D,100,D,.0690,D,4859,D,8,D,66,D,,A,,A,,A,,A,0,D,,A,38,D,38,D,,A,28,D,28,D,,A,11,D,2018,D,1,D,,A,,A,4859,D,4821,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03947143,32,0,5,01,D,100,D,.0475,D,30000,D,5,D,640,D,,B,,B,,B,,B,77,D,477,D,479,D,481,D,86,D,84,D,82,D,,A,04,D,2017,D,1,D,,A,21729,D,21252,D,20773,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03947743,15,0,5,01,D,100,D,.0440,D,30000,D,15,D,515,D,,B,,B,,B,,B,287,D,130,D,131,D,131,D,98,D,97,D,97,D,,A,07,D,2016,D,1,D,,A,26657,D,26527,D,26396,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03952323,29,0,5,01,D,100,D,.0492,D,50000,D,15,D,568,D,,B,,B,,B,,B,175,D,232,D,233,D,234,D,161,D,160,D,159,D,,A,07,D,2014,D,1,D,,A,39360,D,39128,D,38896,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03953333,24,0,5,01,D,100,D,.0475,D,70000,D,15,D,580,D,,A,,A,5,D,,A,36,D,268,D,269,D,270,D,276,D,275,D,274,D,,A,09,D,2018,D,1,D,,A,69733,D,69465,D,69196,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03953363,19,0,5,01,D,100,D,.0525,F,100000,F,15,F,804,F,,A,,A,,A,,A,0,F,982,F,986,F,990,F,30,F,26,F,22,F,,A,06,F,2004,F,2,F,,A,5530,F,4750,F,3967,F,01,D,,A,,A,,A,1012,F,1012,F,1012,F,1,D,2,D
20191,03965103,18,0,5,01,D,100,D,.0519,D,37384,D,10,D,400,D,,A,,A,,A,,A,0,D,,A,,A,238,D,,A,,A,162,D,,A,01,D,2019,D,1,D,012019,D,,A,,A,37384,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03965673,73,0,5,01,D,100,D,.0450,D,150000,D,20,D,949,D,,A,,A,,A,6,D,0,D,761,D,764,D,767,D,188,D,185,D,182,D,,A,10,D,2003,D,2,D,,A,50138,D,49377,D,48613,D,01,D,1,D,,A,,A,400,D,400,D,483,D,,A,,A
20191,03966133,39,0,5,01,D,100,D,.0475,D,33389,D,7,D,468,D,,A,,A,,A,,A,0,D,352,D,354,D,355,D,116,D,114,D,113,D,,A,11,D,2017,D,1,D,,A,29270,D,28918,D,28564,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03968933,32,0,5,01,D,100,D,.0530,F,30000,F,20,F,400,F,,B,,B,,B,,B,197,F,161,F,162,F,163,F,42,F,41,F,40,F,,A,04,F,2003,F,1,F,,A,9410,F,9249,F,9087,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03970803,28,0,5,01,D,100,D,.0492,D,85167,D,10,D,900,D,,A,,A,,A,,A,0,D,,A,,A,698,D,,A,,A,202,D,,A,03,D,2014,D,1,D,012019,D,,A,,A,49184,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03971943,22,0,5,01,D,100,D,.1000,F,50000,F,15,F,750,F,,B,,B,,B,,B,213,F,278,F,281,F,283,F,259,F,256,F,254,F,,A,06,F,2010,F,1,F,,A,31053,F,30774,F,30494,F,01,D,1,D,,A,,A,,A,,A,,A,1,D,2,D
20191,03974103,55,0,5,01,D,100,D,.0595,D,27000,D,10,D,356,D,,B,,B,,B,,B,57,D,203,D,204,D,205,D,96,D,95,D,94,D,,A,05,D,2015,D,1,D,,A,19311,D,19108,D,18903,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03987773,15,0,1,01,D,100,D,.0530,F,30000,F,20,F,400,F,,B,,B,,B,,B,197,F,161,F,162,F,163,F,42,F,41,F,40,F,,A,04,F,2003,F,1,F,,A,9410,F,9249,F,9087,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03990403,16,0,5,01,D,100,D,.0818,D,40000,D,20,D,350,D,3,D,,A,,A,,A,11,D,332,D,334,D,336,D,7,D,5,D,3,D,,A,03,D,1999,D,1,D,,A,1045,D,713,D,379,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03990473,24,0,5,01,D,100,D,.0716,D,40000,D,13,D,400,D,,B,,B,,B,,B,5,D,368,D,370,D,373,D,27,D,25,D,22,D,,A,12,D,2006,D,1,D,,A,4491,D,4123,D,3752,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03995743,21,0,5,01,D,100,D,.0525,D,54000,D,2,D,3363,T,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,02,D,2019,D,2,D,022019,D,58250,D,56130,D,54000,D,01,D,1,D,,A,,A,400,D,600,D,400,D,1,D,2,D
20191,03995743,43,0,5,01,D,100,D,.0475,D,39000,D,30,D,,A,,A,,A,,A,,A,0,F,,A,,A,,A,,A,,A,,A,022019,D,03,F,2019,F,2,D,,A,,A,,A,,A,01,D,1,D,,A,,A,400,D,400,D,400,D,1,D,2,D
20191,03996323,19,0,5,01,D,100,D,.0450,F,75000,F,30,D,380,F,,A,,A,,A,,A,0,F,107,F,107,F,108,F,273,F,273,F,272,F,,A,01,F,2017,F,1,D,,A,72739,F,72632,F,72525,F,01,D,,A,,A,,A,,A,,A,,A,,C,,A
20191,04007142,12,0,1,01,D,100,D,.0470,F,16000,F,10,F,167,F,,A,,A,,A,,A,0,F,0,F,0,F,0,F,,A,,A,,A,,A,10,F,2013,F,2,F,,A,16000,F,16000,F,16000,F,01,D,1,D,,A,,A,14750,V,200,F,300,F,,A,2,D
