QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,EQBPURCH,APPRPB9_
20181,03644134,3,0,2,190,D,10,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03645264,16,0,1,190,D,11,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03645404,7,0,1,110,D,12,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03645654,4,0,1,200,D,10,D,199,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03645684,9,0,1,110,D,12,D,161,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03646174,14,0,1,190,D,11,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03646224,9,0,1,220,D,12,D,86,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03646384,18,0,1,190,D,12,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03646444,10,0,1,220,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03646674,7,0,1,190,D,10,D,26,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03646674,8,0,1,190,D,11,D,26,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03646674,9,0,1,190,D,12,D,26,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03647074,12,0,1,190,D,12,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03647074,13,0,2,190,D,10,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03647074,14,0,2,200,D,10,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03647224,12,0,2,190,D,10,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03647504,25,0,1,190,D,12,D,79,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03647594,7,0,1,190,D,10,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03647774,8,0,1,190,D,11,D,166,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03647904,6,0,1,110,D,11,D,168,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03647984,14,0,1,200,D,11,D,91,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03647984,15,0,1,200,D,11,D,219,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03648104,3,0,1,200,D,10,D,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03648104,4,0,1,200,D,12,D,263,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03648144,12,0,1,220,D,12,D,142,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03648144,13,0,1,130,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03648414,6,0,1,110,D,11,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03648504,3,0,1,130,D,12,D,371,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03649214,15,0,1,190,D,11,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03649374,8,0,1,190,D,10,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03649524,24,0,1,200,D,11,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03649524,25,0,1,200,D,12,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03649864,22,0,1,210,D,12,D,,H,200,D,110,D,,A,,A,,A,,A,,A,,A,,,A
20181,03649864,22,1,1,200,D,12,D,16,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03649864,22,2,1,110,D,12,D,16,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03649864,23,0,1,210,D,11,D,,H,200,D,110,D,,A,,A,,A,,A,,A,,A,,,A
20181,03649864,23,1,1,200,D,11,D,16,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03649864,23,2,1,110,D,11,D,16,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03649864,24,0,2,115,D,10,D,,H,110,D,100,D,,A,,A,,A,,A,,A,,A,,,A
