QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20184,04014321,21,0,1,01,D,100,D,.0365,F,129900,F,30,F,1051,F,3,F,4,F,5,F,,A,457,F,216,F,217,F,217,F,359,F,358,F,358,F,,A,04,F,2016,F,1,F,,A,124312,F,124096,F,123880,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,04014401,12,0,1,01,D,100,D,.0365,D,177000,D,30,D,1124,D,3,D,4,D,5,D,,A,314,D,290,D,290,D,291,D,520,D,520,D,519,D,,A,10,D,2016,D,1,D,,A,171119,D,170829,D,170539,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,04014451,9,0,1,01,D,100,D,.0800,F,89000,F,15,F,1600,F,3,F,4,F,,A,,A,749,F,296,F,298,F,300,F,555,F,553,F,551,F,,A,11,F,2016,F,1,F,082018,F,83213,F,82916,F,82618,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,04014471,10,0,1,01,D,100,D,.0654,D,33559,D,30,D,300,D,3,D,4,D,,A,,A,87,D,86,D,87,D,87,D,127,D,126,D,126,D,,A,05,D,2002,D,1,D,,A,23228,D,23142,D,23055,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,04014571,9,0,1,01,D,100,D,.0425,D,80000,D,20,D,680,D,3,D,4,D,,A,,A,185,D,252,D,253,D,253,D,243,D,242,D,242,D,,A,06,D,2014,D,1,D,,A,68696,D,68444,D,68191,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,04014591,8,0,1,01,D,100,D,.0417,D,110000,D,30,D,716,D,,A,4,D,,A,,A,180,D,179,D,180,D,180,D,357,D,356,D,356,D,,A,11,D,2014,D,1,D,,A,102704,D,102525,D,102345,D,01,D,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20184,04014631,13,0,1,01,D,100,D,.0365,D,410000,D,30,D,2730,D,3,D,,A,,A,,A,854,D,672,D,674,D,676,D,1204,D,1202,D,1200,D,,A,09,D,2016,D,1,D,,A,395713,D,395040,D,394366,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,04014691,27,0,1,01,D,100,D,.0365,D,150000,D,10,D,2500,D,3,D,4,D,,A,,A,1006,D,1120,D,1123,D,1126,D,374,D,371,D,368,D,,A,06,D,2016,D,1,D,,A,123087,D,121967,D,120844,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,04014741,28,0,1,01,D,100,D,.0385,D,233144,D,30,D,1348,D,3,D,4,D,,A,,A,255,D,391,D,392,D,393,D,646,D,645,D,644,D,,A,04,D,2015,D,1,D,,A,218836,D,218445,D,218052,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,04014781,16,0,1,01,D,100,D,.0469,D,80000,D,30,D,476,D,,B,,B,,B,,B,62,D,149,D,150,D,150,D,225,D,224,D,224,D,,A,04,D,2010,D,1,D,,A,67779,D,67630,D,67481,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,04014921,18,0,1,01,D,100,D,.0410,D,155000,D,30,D,1100,D,,B,,B,,B,,B,351,D,224,D,225,D,225,D,525,D,524,D,524,D,,A,01,D,2018,D,1,D,,A,153672,D,153448,D,153224,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
