QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20181,03640504,3,0,1,420,D,1,D,10,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640514,12,0,1,200,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640524,6,0,1,120,D,1,D,11,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640534,15,0,1,120,D,1,D,11,D,467,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640574,4,0,1,420,D,1,D,11,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640614,10,0,1,420,D,1,D,11,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640614,11,0,1,620,D,1,D,13,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640634,20,0,1,620,D,1,D,13,D,7,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640664,15,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640704,12,0,1,200,D,1,D,11,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640744,31,0,1,620,D,1,D,11,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,33,0,1,420,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,34,0,1,330,D,1,D,10,D,88,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,35,0,1,330,D,1,D,11,D,88,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,36,0,1,330,D,1,D,12,D,88,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,37,0,1,330,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,38,0,1,330,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,39,0,1,200,D,1,D,10,D,137,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,40,0,1,200,D,1,D,11,D,137,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,41,0,1,200,D,1,D,12,D,137,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,42,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,43,0,2,200,D,1,D,10,D,137,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,44,0,2,420,D,1,D,10,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,45,0,2,620,D,1,D,10,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640814,23,0,1,200,D,1,D,12,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640814,24,0,1,420,D,1,D,12,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640814,25,0,1,700,D,1,D,13,D,17152,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640814,26,0,1,620,D,1,D,13,D,920,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640874,46,0,1,200,D,1,D,11,D,723,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640874,47,0,1,410,D,1,D,11,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20181,03640874,48,0,1,420,D,1,D,10,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640874,49,0,1,420,D,1,D,11,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640874,50,0,1,420,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640874,51,0,1,510,D,1,D,10,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
