QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_
20181,03660714,7,0,1,470,D,1,D,02,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03661044,7,0,1,480,D,1,D,01,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03661874,17,0,1,470,D,1,D,12,D,391,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03661874,18,0,2,470,D,1,D,12,D,391,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03661974,31,0,1,450,D,1,D,01,D,53,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03662464,6,0,1,470,D,1,D,01,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03662674,7,0,1,450,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03662984,8,0,1,460,D,1,D,02,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03663204,7,0,1,450,D,1,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03663444,7,0,1,460,D,1,D,02,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03664574,4,0,1,450,D,1,D,01,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03664694,6,0,1,450,D,1,D,01,D,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03664694,7,0,1,470,D,1,D,01,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03665154,4,0,1,450,D,1,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03665604,9,0,1,470,D,2,D,01,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03665894,9,0,1,450,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03666114,5,0,1,470,D,1,D,01,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03667074,9,0,1,470,D,1,D,02,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03667634,6,0,1,450,D,1,D,02,D,54,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03668004,7,0,1,450,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03668544,5,0,1,470,D,1,D,02,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03670554,5,0,1,470,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03670814,1,0,1,450,D,1,D,02,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03671204,4,0,1,450,D,1,D,02,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03671334,6,0,1,470,D,1,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03692323,5,0,1,470,D,1,D,11,D,59,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03692813,5,0,1,450,D,1,D,10,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03692883,12,0,1,470,D,1,D,11,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03692993,9,0,1,470,D,1,D,10,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03693353,17,0,1,470,D,1,D,10,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03693373,13,0,1,450,D,1,D,11,D,127,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03694103,2,0,1,450,D,1,D,11,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03694103,3,0,1,490,D,1,D,10,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03694103,4,0,1,490,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03694103,5,0,1,490,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03694213,3,0,1,470,D,1,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
