NEWID,TAX_UNIT,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND17,DEPU_D17,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC,AGE_TP,AGE_SP,DEPUND13,DEPU_D13,DEPUND18,DEPU_D18
03818534,1,2017,2016,6,.02900,.02900,2,.32500,.32500,31,D,.06370,.06370,,T,,T,,T,,T,,T,,T,,T,,T,,T,,T,,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,T,3,T
03818534,2,2017,2016,6,.00000,.00000,1,-.4500,-.4500,31,D,-.1575,-.1575,,T,,T,,T,,T,,T,,T,,T,,T,,T,,T,,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,T,3,T
03818534,3,2017,2016,6,.00000,.00000,1,-.4500,-.4500,31,D,-.1575,-.1575,,T,,T,,T,,T,,T,,T,,T,,T,,T,,T,,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,T,3,T
03818554,1,2017,2016,0,.15300,.15300,2,.15000,.15000,15,D,.03230,.03300,51147,D,0,D,0,D,0,D,20304,D,0,D,0,D,1600,D,100,D,0,D,0,D,0,D,7076,1739,7091,7071,1767,1730,7825,7825,75405,75405,58147,58147,0,0,0,0,0,0,0,0,75405,75405,0,0,7091,7071,7091,7071,0,0,0,0,0,0,0,0,0,0,0,81,0,0,D,0,D
03818564,1,2017,2016,2,.00000,.00000,1,-.0765,-.0765,47,D,.00000,.00000,0,D,0,D,0,D,260,D,0,D,0,D,0,D,1300,D,26,D,0,D,0,D,754,D,0,0,0,0,0,0,0,0,260,260,260,260,0,0,0,0,0,0,0,0,260,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03818594,1,2017,2016,3,.15300,.15300,1,.00000,.00000,10,D,.00000,.00000,17078,D,0,D,0,D,0,D,0,D,0,D,0,D,4500,D,0,D,0,D,2,D,0,D,-7605,0,-7572,-7616,0,0,2613,2613,17078,17078,0,0,0,0,2000,2000,0,0,5572,5616,17078,17078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,2,D,2,D
03818594,2,2017,2016,0,.15300,.15300,1,.15000,.15000,10,D,.00000,.00000,45511,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,4803,0,4810,4800,0,0,6963,6963,45511,45511,0,0,0,0,0,0,0,0,0,0,45511,45511,0,0,4810,4800,4810,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03818604,1,2017,2016,1,.15300,.15300,1,-.4900,-.4900,17,D,-.0578,-.0578,6396,D,0,D,0,D,0,D,0,D,0,D,7500,D,0,D,475,D,0,D,1,D,0,D,-2684,-370,-2684,-2684,-370,-370,979,979,6396,6396,6396,6396,0,0,509,509,0,0,2175,2175,6396,6396,0,0,0,0,0,0,5500,5500,0,0,0,0,0,0,370,370,0,24,0,1,D,1,D
03818604,2,2017,2016,0,.15300,.15300,1,.15000,.15000,17,D,.04900,.04600,26548,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1958,731,1966,1956,695,744,4062,4062,26548,26548,26548,26548,0,0,0,0,0,0,0,0,26548,26548,0,0,1966,1956,1966,1956,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03818624,1,2017,2016,2,.00000,.00000,1,-.0765,-.0765,0,T,.00000,.00000,0,D,0,D,0,D,4800,D,0,D,0,D,0,D,350,D,175,D,0,D,0,D,8400,D,0,0,0,0,0,0,0,0,4800,4800,0,0,0,0,0,0,0,0,0,0,4800,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03818634,1,2017,2016,0,.15300,.15300,1,.15000,.15000,0,T,.00000,.00000,24025,D,0,D,0,D,0,D,0,D,0,D,0,D,1660,D,230,D,0,D,0,D,1844,D,1580,0,1588,1578,0,0,3676,3676,24025,24025,0,0,0,0,0,0,0,0,0,0,24025,24025,0,0,1588,1578,1588,1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03818634,2,2017,2016,1,.00000,.00000,1,-.0765,-.0765,0,T,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03818654,1,2017,2016,2,.00000,.00000,1,-.0765,-.0765,21,D,-.0207,-.0199,0,D,0,D,0,D,0,D,0,D,0,D,10380,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03818664,1,2017,2016,3,.15300,.15300,1,.31060,.31060,34,D,.05500,.05750,26250,D,0,D,0,D,0,D,0,D,0,D,6600,D,0,D,0,D,0,D,3,D,0,D,-7561,318,-7497,-7582,375,299,4016,4016,26250,26250,26250,26250,75,70,2925,2930,0,0,4572,4652,26250,26250,0,0,75,70,75,70,13200,14000,0,0,0,0,0,0,0,0,0,57,0,2,D,3,D
03818674,1,2017,2016,0,.15300,.15300,1,.15000,.15000,24,D,.04950,.04910,22392,D,0,D,0,D,0,D,0,D,0,D,10200,D,0,D,240,D,0,D,0,D,300,D,1203,-597,1211,1201,-600,-596,3426,3426,21512,21512,21512,21512,0,0,0,0,0,0,0,0,21512,21512,0,0,1211,1201,1211,1201,6300,6350,903,909,1197,1191,0,0,0,0,0,0,0,0,D,0,D
03818684,1,2017,2016,0,.00000,.00000,1,-.0765,-.0765,07,D,-.0176,-.0210,0,D,0,D,0,D,0,D,21288,D,0,D,7140,D,0,D,26,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03818704,1,2017,2016,1,.15300,.15300,1,.15000,.15000,31,D,.01750,.01750,26956,D,0,D,0,D,4200,D,0,D,0,D,9600,D,0,D,565,D,0,D,0,D,0,D,1392,381,1401,1388,381,381,4124,4124,31156,31156,31156,31156,0,0,0,0,0,0,0,0,31156,31156,0,0,1401,1388,1401,1388,0,0,0,0,50,50,0,0,0,0,0,55,0,0,D,0,D
03818724,1,2017,2016,2,.15300,.15300,2,.28930,.28890,36,D,.04290,.04440,84367,D,40000,D,0,D,0,D,0,D,0,D,0,D,1700,D,50,D,0,D,2,D,7548,D,14035,3576,14079,14021,3598,3569,19028,19028,124367,124367,124367,124367,1282,1282,0,0,0,0,0,0,116819,116819,0,0,15360,15303,15360,15303,0,0,0,0,0,0,0,0,0,0,0,0,0,2,D,2,D
03818724,2,2017,2016,0,.15300,.15300,1,.25000,.25000,36,D,.03460,.03460,60000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,8150,1482,8184,8139,1489,1480,9180,9180,60000,60000,60000,60000,0,0,0,0,0,0,0,0,60000,60000,0,0,8184,8139,8184,8139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03818734,1,2017,2016,0,.00000,.00000,1,-.0765,-.0765,0,T,.00000,.00000,0,D,0,D,0,D,0,D,9763,D,0,D,8280,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03818744,1,2017,2016,4,.00000,.00000,1,-.4000,-.4000,34,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,4344,D,0,D,139,D,0,D,2,D,20,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,14000,20,20,0,0,0,0,0,0,0,0,0,2,D,2,D
03818774,1,2017,2016,0,.00000,.00000,1,-.0765,-.0765,05,D,-.0650,-.0646,0,D,0,D,0,D,0,D,26640,D,0,D,0,D,2500,D,490,D,0,D,0,D,18032,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4129,4236,21022,21022,0,0,0,0,0,0,0,0,0,0,D,0,D
03818784,1,2017,2016,0,.00000,.00000,1,-.0765,-.0765,39,D,.00000,.00000,0,D,0,D,0,D,2162,D,23928,D,0,D,20196,D,0,D,258,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,2171,2171,2162,2162,0,0,0,0,0,0,0,0,2171,2171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
