NEWID,TAX_UNIT,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND17,DEPU_D17,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC,AGE_TP,AGE_SP,DEPUND13,DEPU_D13,DEPUND18,DEPU_D18
03692164,1,2017,2016,2,.02900,.02900,1,.23720,.23720,22,D,.05100,.05100,130000,D,0,D,0,D,0,D,0,D,0,D,0,D,8000,D,20,D,0,D,1,D,1160,D,15755,4794,15767,15722,4794,4794,18464,19543,112000,112000,130000,130000,0,0,0,0,0,0,0,0,110840,110840,0,0,15767,15722,15767,15722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,2,D
03692174,1,2017,2016,0,.15300,.15300,1,-.0765,-.0765,01,D,.00000,.00000,200,D,0,D,0,D,0,D,0,D,0,D,2160,D,0,D,0,D,0,D,0,D,0,D,-15,0,-15,-15,0,0,31,31,200,200,200,200,0,0,0,0,0,0,15,15,200,200,0,0,0,0,0,0,2500,2500,15,15,0,0,0,0,0,0,0,0,0,0,D,0,D
03692204,1,2017,2016,2,.00000,.00000,1,-.0765,-.0765,22,D,-.0176,-.0176,0,D,0,D,0,D,3000,D,0,D,0,D,0,D,4000,D,300,D,0,D,0,D,16010,D,0,0,0,0,0,0,0,0,3000,3000,3000,3000,0,0,0,0,0,0,0,0,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03692234,1,2017,2016,0,.15300,.15300,1,.25000,.25000,22,D,.05100,.05100,57000,D,0,D,0,D,0,D,0,D,0,D,17100,D,0,D,0,D,0,D,0,D,0,D,7423,2428,7434,7389,2428,2428,8721,8721,57000,57000,57000,57000,0,0,0,0,0,0,0,0,57000,57000,0,0,7434,7389,7434,7389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03692244,1,2017,2016,0,.15300,.15300,1,.10000,.10000,12,D,.06300,.06300,15563,D,0,D,0,D,0,D,0,D,0,D,0,D,1200,D,319,D,0,D,0,D,824,D,524,425,526,521,425,425,2381,2381,15606,15606,15606,15606,0,0,0,0,0,0,0,0,15606,15606,0,0,526,521,526,521,2200,2200,2766,2766,0,0,0,0,0,0,0,0,0,0,D,0,D
03692244,2,2017,2016,0,.15300,.15300,2,.15000,.15000,12,D,.07600,.07600,27000,D,47000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,6875,4088,6880,6860,4088,4088,11322,11322,74000,74000,74000,74000,0,0,0,0,0,0,0,0,74000,74000,0,0,6880,6860,6880,6860,4400,4400,4088,4088,0,0,0,0,0,0,0,0,65,0,D,0,D
03692264,1,2017,2016,0,.15300,.15300,1,.14130,.14130,18,D,.05800,.05800,45142,D,0,D,0,D,0,D,0,D,0,D,0,D,1600,D,0,D,0,D,0,D,5096,D,4390,2036,4390,4388,2036,2036,6907,6907,45142,45142,45142,45142,0,0,0,0,0,0,0,0,40046,40046,0,0,4390,4388,4390,4388,2460,2480,6696,6696,0,0,0,0,0,0,0,0,0,0,D,0,D
03692264,2,2017,2016,0,.15300,.15300,1,.15000,.15000,18,D,.05800,.05800,23187,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1459,1008,1462,1452,1008,1007,3548,3548,23187,23187,23187,23187,0,0,0,0,0,0,0,0,23187,23187,0,0,1462,1452,1462,1452,2460,2480,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03692274,1,2017,2016,0,.15300,.15300,1,.23560,.23560,47,D,.05750,.05750,81500,D,0,D,0,D,0,D,0,D,0,D,0,D,2600,D,90,D,0,D,0,D,7472,D,11656,3796,11665,11632,3796,3796,12470,12470,81581,81581,81581,81581,0,0,0,0,0,0,0,0,74109,74109,0,0,11665,11632,11665,11632,3000,3000,10162,10162,0,0,0,0,0,0,0,0,0,0,D,0,D
03692304,1,2017,2016,0,.00000,.00000,1,-.0765,-.0765,06,D,-.0077,-.0077,0,D,0,D,0,D,0,D,11400,D,0,D,12240,D,0,D,82,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
