NEWID,TAX_UNIT,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND17,DEPU_D17,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC,AGE_TP,AGE_SP,DEPUND13,DEPU_D13,DEPUND18,DEPU_D18
03891134,1,2017,2016,5,.15300,.15300,1,.15000,.15000,33,D,.06450,.06450,55000,D,0,D,0,D,0,D,0,D,0,D,19464,D,0,D,0,D,0,D,3,D,0,D,2356,1871,2356,2343,1871,2209,8415,8415,73720,73720,73720,73720,3000,3000,0,0,0,0,0,0,73720,73720,0,0,5356,5343,5356,5343,11150,11200,0,0,0,0,0,0,0,0,0,0,0,3,D,3,D
03891154,1,2017,2016,2,.15300,.15300,2,-.5500,-.5500,44,D,.00000,.00000,0,D,12000,D,0,D,0,D,0,D,0,D,0,D,1200,D,0,D,0,D,2,D,0,D,-6150,0,-6150,-6150,0,0,1836,1836,12000,12000,0,0,0,0,1350,1350,0,0,4800,4800,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,D,2,D
03891174,1,2017,2016,2,.15300,.15300,1,.15980,.15980,22,D,.08390,.08390,19000,D,0,D,0,D,0,D,0,D,0,D,0,D,3600,D,3,D,0,D,1,D,5268,D,-4244,-667,-4244,-4295,-667,-679,2907,2907,19000,19000,19000,19000,0,0,1000,1000,0,0,3244,3295,19000,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,758,0,50,0,0,D,1,D
03891224,1,2017,2016,2,.15300,.15300,2,.25000,.25000,0,T,.00000,.00000,93500,D,37000,D,0,D,0,D,0,D,0,D,0,D,1600,D,230,D,0,D,1,D,10828,D,16953,0,16953,16878,0,0,19967,19967,130500,130500,0,0,0,0,0,0,0,0,0,0,119672,130500,0,0,16953,16878,16953,16878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,1,D
03891234,1,2017,2016,1,.15300,.15300,1,.10000,.10000,33,D,.04900,.04900,27028,D,0,D,0,D,0,D,0,D,0,D,16256,D,0,D,0,D,0,D,0,D,0,D,963,454,963,958,454,451,4135,4135,27028,27028,27028,27028,0,0,0,0,0,0,0,0,27028,27028,0,0,963,958,963,958,11150,11200,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03891244,1,2017,2016,0,.15300,.15300,2,.25000,.25000,01,D,.03370,.03370,23947,D,78116,D,0,D,0,D,0,D,0,D,0,D,390,D,60,D,0,D,0,D,0,D,11883,3866,11883,11793,3866,3871,15616,15616,102063,102063,102063,102063,0,0,0,0,0,0,0,0,102063,102063,0,0,11883,11793,11883,11793,4000,4000,8258,8258,0,0,0,0,0,0,0,0,62,0,D,0,D
03891244,2,2017,2016,0,.15300,.15300,1,.10000,.10000,01,D,.04500,.04500,16979,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,663,576,663,658,576,576,2598,2598,16979,16979,16979,16979,0,0,0,0,0,0,0,0,16979,16979,0,0,663,658,663,658,2500,2500,1299,1299,0,0,0,0,0,0,0,0,0,0,D,0,D
03891254,1,2017,2016,0,.15300,.15300,2,.07650,.07650,36,D,.02750,.02750,18240,D,0,D,0,D,0,D,0,D,0,D,10800,D,0,D,0,D,0,D,0,D,0,D,-168,86,-168,-180,86,80,2791,2791,18240,18240,18240,18240,0,0,0,0,0,0,168,180,18240,18240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,0,27,0,0,D,0,D
03891284,1,2017,2016,0,.00000,.00000,1,.22670,.22680,05,D,.09300,.09300,0,D,0,D,28000,D,96348,D,0,D,0,D,0,D,10500,D,1776,D,0,D,0,D,15104,D,18552,6795,18552,18537,6795,6725,0,0,129348,129348,129348,129348,0,0,0,0,0,0,0,0,114244,114244,0,0,18552,18537,18552,18537,4129,4236,27380,27380,0,0,0,0,0,0,0,0,0,0,D,0,D
03891354,1,2017,2016,1,.15300,.15300,2,.25980,.25980,05,D,.00000,.00000,0,D,35000,D,0,D,0,D,0,D,0,D,14040,D,0,D,0,D,0,D,1,D,0,D,-1549,0,-1549,-1616,0,0,5355,5355,35000,35000,35000,35000,1000,1000,0,0,0,0,1574,1631,35000,35000,0,0,1025,1015,1025,1015,8258,8472,0,0,0,0,0,0,0,0,0,0,0,1,D,1,D
